Unnamed: 0,Context,Verb.form,Recipient,Theme,morph_case
31,"like a quality kind. it- it gives flexibility, it gives you uh- lightness and you can get stuff like that",gives,you,lightness,dat
32,good. i don 't get homework in english because she gives us time to do it in class- if we finish it in cla,gives,us,time,dat
33,"m the heavens like ""i exist julio!"" and i can like give him props or wave back or-something. and then we",give,him,props,dat
34,"e illuminati  you can cut that part out, i give you permission.  it 's good to know you 're ta",give,you,permission,dat
35,ke money so he started dancing with people so they gave him money to get . but  a gas business.,gave,him,money,dat
36,ngly all the time and like it 's not like i don 't give her advice. i do. but she just doesn 't use it. s,give,her,advice,dat
37,like all they can do is like let you sit down and give you ice. so she likes to complain a lot. and then,give,you,ice,dat
38,ah- blah- blah- blah. they 'll just- 'cause macro gives you electricity right? so they won 't need coal,gives,you,electricity,dat
39,have to learn much more. so that 's why they 'll give you credit with that. who-knows? i-don-t-know.,give,you,credit,dat
40,hen my teacher she- he didn 't- he was too lazy to give us ours. so we couldn 't use the computers the e,give,us,ours,dat
41,"s pumping out. and then me and greg were like ""we gave them that. it was our doing."" and then we got m",gave,them,that,dat
42,s like- the non-academic requirements. so they do give you credits. but they give you like p-kin. credi,give,you,credits,dat
43,ve me like sixty-bucks from my mom 's- like my mom gives her money to spend every month. she gave me sixt,gives,her,money,dat
44,"er by working really hard. which you-know kind of gives me inspiration to work hard.""  ",gives,me,inspiration,dat
45,my mom gives her money to spend every month. she gave me sixty because she didn 't want to spend all of,gave,me,sixty,dat
46,"buy a two-door car. how am i gonna sit in it? i give you rides. you have to give me rides back."" and",give,you,rides,dat
47,he very beg-- very beginning of the year. and she gave her acrylics with like for- yeah. acrylics with,gave,her,acrylics,dat
48,"the school children holidays and they gave me flowers and of-course you'd get all these flowers,",gave,me,flowers,dat
49,i was on my own then from new-york on down to washington but they gave the school children holidays and they,gave,the school children,holidays,dat
50,"them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner. sometimes we'd",give,them,dinner,dat
51,"well we used to give dinners to the men's club, and give them lunch, you-know and give them dinner, to the men's club once a month and we gave them a good dinner.",give,them,lunch,dat
52,"sometimes we'd give them turkey, sometimes roast beef and sometimes ham.",give,them,turkey,dat
53,"at no time is my secretary or myself on holidays or away. so, we try to give this coverage but really each municipality",give,this,coverage,dat
54,nobody had much money and often through the existing policies we would give them loans and pay them over in some situations.,give,them,loans,dat
55,"over there one's all you wanted, a three finger strap and when they used to just give us one.",give,us,one,dat
56,"well, to improve the status of women really and to give them encourage in carrying on in business.",give,them,encourage,dat
57,"i'd get her, well mrs-campbell always thought she aught to give me something to eat when i got there so i had my second breakfast.",give,me,something,dat
58," if we're not gonna give them money that's fine, they just like the community.",give,them,money,dat
59,it just gives you confidence a little bit.,gives,you,confidence,dat
60,yes that was my first bike my- my aunt gave me hers.,gave,me,hers,dat
61,"he'd say, ""hey, you-know, that's the north-star, this is- this is what you look for in a safe-house, this is-"" give them weapons- this type of thing.",give,them,weapons,dat
62,"well, they didn't really tell me, they just gave me options which weren't even close to what i'd seen from that ah, alternative class",gave,me,options,dat
63,i gave them each one.,gave,them each,one,dat
64,"attention,  however, i do have to give him credit for a lot of things which ah, you-know, had something to do with my life at that point.",give,him,credit,dat
65,"but i used to think that you had to give them needles, stick your hands up their places, and poke cows out of them.",give,them,needles,dat
66,"eighty-two, so, i don’t know. and like, jennifer gives me support. she’s-like, “oh, you’re off to a go",gives,me,support,dat
67,"she’s really really nice.  and like, i-dunno, she gave us like, malasadas. and like, she gave you that",gave,us,"like, malasadas",dat
68,he told david that she felt bad because she didn’t give me anything.      i know i,give,me,anything,dat
69,"cause, i-don't-know, it's not really my place. i gave him advice if he asked for it, like ""oh do you th",gave,him,advice,dat
70,"e another chance, like what do you have to lose by giving me more time?"" and it was like- and he's like, ""i",giving,me,more time,dat
71,so my french teacher decided to give me that.,give,me,that,dat
72,"i get scared but they don't give me nightmares, so i-don't-know why.",give,me,nightmares,dat
73,"but- and in terms of birthdays when i was younger they gave me presents,",gave,me,presents,dat
74,"they didn't know this, they gave her insulin.",gave,her,insulin,dat
75,"ommon  and the parents never  parents would give you it, if when you got home  right, on top o",give,you,it,dat
76,"ped. so when he found out i could type um, he was giving me stuff to type and then when the teachers found",giving,me,stuff,dat
77,"i'm like, ""man, that's my dad's i can't give you that.""",give,you,that,dat
78,"in the f-- the absolute funny story is um any of my male cousins who had given their parents trouble during the winter would be sentenced to the farm for the summer, to work on the farm.",given,their parents,trouble,dat
79,"they don't allow us to leave her at home, by herself and kate being in children's-aid, she gives us lectures abut doing that.",gives,us,lectures,dat
80," you knew he was mad if it was my dad who ah um who was giving you heck over something because usually it would be just mom saying,",giving,you,heck,dat
81," especially fresh water you could do a lot by just giving a village water, or teaching them how to get water.",giving,a village,water,dat
82,"see kids around here and sure enough. and i just gave them shit ""go home to your basement and rent a m",gave,them,shit,dat
83,"anted to show you something."" and i said ""jessie gave me this on our trip."" and i showed them the ring",gave,me,this,dat
84,"hey had problems with her- i-don't-know they were giving her grief, i really didn 't understand why at the",giving,her,grief,dat
85,tences.   that 'd be interesting. so do you give me analysis back or no?  well i 'm not- i 'm,give,me,analysis,dat
86,"north-america, doing something good, and so would give them money, do whatever their- however they 're",give,them,money,dat
87,"sy. so um, you-know and for them, as much as they gave  us encouragement they never thought us- of thems",gave,us,encouragement,dat
88,it 'll- it 'll help you out in life 'cause it 'll give you money which will pay for the bills and blah-b,give,you,money,dat
89,"ng her a roof over her head, they absolutely would give her nothing towards her tuition or expenses or a",give,her,nothing,dat
90,"e in scarborough when they moved down there, they gave all the kids money and i got fourteen thousand d",gave,all the kids,money,dat
91,"an experience to give them canadian experience, to give them work so that they could go find a real job",give,them,work,dat
92,"er birthday and my grandfather was april, and they gave us money you-know, out of the house when they- w",gave,us,money,dat
93,"e  yeah, she was upset and she went over and gave him hell for that  right  but you-know ",gave,him,hell,dat
94,"ented, and a lot of people scoff at him and don 't give him credit, but he 's awesome.   it 's funner",give,him,credit,dat
95,"ttles and all that so my parents wouldn 't have to give her formula, good god. let me tell you, it 's a",give,her,formula,dat
96,"late?  four.  four days. and your boss gives you shit.  yeah, first light. first light fr",gives,you,shit,dat
97,e.  i remember in this one band- they always just gave us beers anyways. no-one really   ,gave,us,beers,dat
98,eople on the whole have um been adverse to really giving them power at the national level. um  i don,giving,them,power,dat
99,"can handle, might be fifty people.  and then they give them breakfast and then they 're out on the stre",give,them,breakfast,dat
100,"rts.""  yeah but not even that but if they 're giving me medicine already for my c-section, am i gonna",giving,me,medicine,dat
101,e is on the street again and it ma-- and i don 't give him money. it makes me mad. i 'm like- and i- thi,give,him,money,dat
102,"s live 'cause it was the first plane. what really gave me shivers was as i was watching it, i saw the s",gave,me,shivers,dat
103,"d bring ice-cream to everybody, you-know! and he gave me gifts, and he was like, doting on me. i love",gave,me,gifts,dat
104,"tion, and he would- he would say, ""okay, before i give you money, you know what i- you gotta get a guara",give,you,money,dat
105,"warranty story ever.  you-know, ""we 'll just give her one for creativity.""   i had a b",give,her,one,dat
106,"le that become parents, all of a sudden, they 're giving kids things just like your mother and father gave",giving,kids,things,dat
107,"right, right. she was the woman on the street that gave us money for ice-cream-cones. nobody had money f",gave,us,money,dat
108,"he government didn 't even have classes really or give you money like they do today, to the immigrants.",give,you,money,dat
109,s- you-know she 's passionate about stuff. so uh i give her space.  those are good things.  yeah,give,her,space,dat
110,i-don't-know. i give her- i give her her space. i give her space. i 've learnt too that if i call her a,give,her,space,dat
111,"on they gave him four keys. but ah, she- and she gave me two, one service-door key and one for his apa",gave,me,two,dat
112,"and then he wanted out to- he wanted children, she gave him children, triplets. she went through hell. t",gave,him,children,dat
113,"and avenues and um, ah we 've never um- they never gave the autom-- automobiles supremacy in toronto. in",gave,the automobiles,supremacy,dat
114,"bbath here even though it 's not sabbath there, to give her money that he potentially earned on the sabba",give,her,money,dat
115,"seeing so-and-so or i like so-and-so"" or they 'll give me advice or they 're just willing to hear it. a",give,me,advice,dat
116,"academic achievement-award in grade-nine and they gave me cash, which is kind-of a weird way and i actua",gave,me,cash,dat
117," -twelve they were like, “no, we can ‘t. we can ‘t give you extensions, it ‘s due on this date.”  “s",give,you,extensions,dat
118,y postponed when the sewer back-up occurred and we gave her presents but we still haven ‘t celebrated and,gave,her,presents,dat
119,or accessibility-services and that doesn ‘t really give me anything but a certificate that says i did it,give,me,anything,dat
120,re at all relevant and then one course that could give me prerequisite and then another two-and-a-half c,give,me,prerequisite,dat
121,". um, they- they didn ‘t like me ‘cause i didn ‘t give them money was basically it and i wasn ‘t a huge",give,them,money,dat
122,e can 't afford bus tickets so i don 't mind or i give people fruit and but i mostly have a group of gir,give,people,fruit,dat
123,"ut um, that 's pretty-much it. i don't really like giving people gifts, like i knitted my sister a scarf an",giving,people,gifts,dat
124, 'cause if security sees us and they think that we're you-know giving somebody money to gamble for us,giving,somebody,money,dat
125,you-know they give him trouble for doing it but you-know it wasn't too bad.,give,him,trouble,dat
126,i'm not a meddler or- or anything-like-that but ah- if- if i try to give my daughter-in-law advice she's really offended but we are getting better so ah yeah.,give,my daughter-in-law,advice,dat
127,and ah then there was other guys there as workers i guess you'd call them and like they- he would have to give them permission to be with anybody and-stuff-like-that.,give,them,permission,dat
128,"ure  i wasn 't- i was looking for someone to give me guidance and say ""try doing this, try doing th",give,me,guidance,dat
129,"the guys at humber are all like pretty focused on giving you guidance  yeah  you know what i mean,",giving,you,guidance,dat
130,"r, you-know, want you to buy something, right, or give them money somehow, yeah. that 's- that 's third",give,them,money,dat
131,"ah.  and i was taken to lunch, and they would give me plates with nursery rhymes around it, and i u",give,me,plates,dat
132,"money. and people would slam the doors or they 'd give us money, but you always made change. you did sn",give,us,money,dat
133,"mumbling as i walk by, he said ""w-- why don 't you give a white person something?"" i says ""oh shit,"" i-",give,a white person,something,dat
134,happen under any circumstance 'cause they haven 't given me anything so they can 't take anything away. ,given,me,anything,dat
135,is to their well being. and that it 's- it should give them pride. they need to be proud of something,give,them,pride,dat
136,"hat did you ever give me?"" you-know, ""why should i give you something?"" you-know? but i will give- if i",give,you,something,dat
137,"barrass us and give his class entertainment, so he gave both of us strap, one after the other back and f",gave,both of us,strap,dat
138,"n front of his class, i guess to embarrass us and give his class entertainment, so he gave both of us s",give,his class,entertainment,dat
139,"eat their cage up if you don 't- if you don 't ah give 'em attention, right?  and you have to be the",give,them,attention,dat
140,"he guy was beating the hell out his wife, and you give his wife money, he gets half of it. there 's so",give,his wife,money,dat
141,"believe it. he says, ""no. he 's not white. don 't give me that."" he 's going, ""no. he 's a white guy."" ",give,me,that,dat
142,"uld act."" right? and so they- you-know, they- they give them personalities. they give them all-this-stuf",give,them,personalities,dat
143,and he came up with all these devices that could give you nicotine without smoking cigarettes 'cause he,give,you,nicotine,dat
144,"er. you don 't understand. but actually i have to give her credit. like, last month she found a- oh god",give,her,credit,dat
145,as if i was ten years-old and i needed my mom to give me permission to do things and whatnot. it was b,give,me,permission,dat
146,"to tie her to the damn chair. she 's like, ""i 'll give you instructions."" so she sits in the chair and ",give,you,instructions,dat
147,"w? and um, you-know occasionally people will even give us donations in the street, um, people are, peopl",give,us,donations,dat
148,and- and then the- the speech-therapy people had given me stuff to give to the teachers so that they wo,given,me,stuff,dat
149,"on the reserves and gave them nothing to do, just gave them money so what else would you do but drink an",gave,them,money,dat
150,"u-know, like, an-- it was just such a thing to be giving people, or you family, food. and, you-know, just",giving,"people, or you family",food,dat
151,"ke for instances, i had, i wrote a letter saying i gave my friend permission, it was from her mom, like",gave,my friend,permission,dat
152,"we 'll buy you a ticket. you 'll get your- we 'll give you dinner,"" okay, type-of-thing, ""you don 't ha",give,you,dinner,dat
153,"om b-m-g records."" um, so i don 't know he kind-of gave me shit and there was something else he said i r",gave,me,shit,dat
154,"u remember what made her-  she was um, she 'd give  you hell for not- you-know- you towed the line,",give,you,hell,dat
155,"way when she found out, she phoned-up the lady who gives her massages, um at the um, at the elmwood, i th",gives,her,massages,dat
156,"w! aren't you lucky.  i said ""well i have to give you something for your gas."" he said ""are you ki",give,you,something,dat
157,"were teaching it looked at it and said ""no. please give me something!"" you-know so th-- of-course there's",give,me,something,dat
158,"e it and...like if you didn't speak french, they'd give you detention or-   oh okay.  ",give,you,detention,dat
159,"piece of land ah, off of mine, i surveyed them and give him some and give him enough to build on that. f",give,him,some,dat
160,o figure out how to get there and he was trying to give me directions and it was like they use north and,give,me,directions,dat
161,"people. i had a really hard time like- i wanted to give them money if i could, i wanted to help them and",give,them,money,dat
162,s now. he wasn't my boss at the time but he's ah i gave him one today. ah he's got one and he's my wife's,gave,him,one,dat
163," of the crossing guard- she's his assistant. but i gave him one. i said ""now-"" and i told him that story.",gave,him,one,dat
164,"and i remember he used to just-- he used to always give me one. like, we'd go in a we'd buy bread or what",give,me,one,dat
165,"ld be a landmark 'cause you go look at that and it gives you destinations to, like kapiskasing, ah timmins",gives,you,destinations,dat
166,"the end of the year last year, she like, was- she gave me, like, cookies. ‘cause i’d buy something and",gave,me,"like, cookies",dat
167,"  she’d charge me for a pizza and drink and she’d give me a cookie, right? so i thought that was very n",give,me,a cookie,dat
168,"”  good morning.   but um, then- and she gave me ten dollars, and so, that’s my working. which",gave,me,ten dollars,dat
169,"i’d buy something and she’d be like- oh, and she’d give me the change. say i bought, like, a pizza and a",give,me,the change,dat
170," after the party, eh?  yeah.  like, she gave me her email, right? so then we’ve been talking",gave,me,her email,dat
171,"e, “oh yeah, dad paid?” and i was-like, “yeah, he gave me some money.”  “dad gave you money?” “i mea",gave,me,some money,dat
172,"a bad mark, “sir, i deserve better.” “okay, i’ll give you an eighty.”  you know what?  you k",give,you,an eighty,dat
173,"like, for christmas, he had a christmas party he gave us christmas presents. he gave us a sled, candy.",gave,us,"a sled, candy",dat
174,ulder- sho- shoulder after practice she could just give  me the ultrasound. ice it down for a while and,give,me,the ultrasound,dat
175,"m  and stuff, so.  and ah, you-know, like giving people different exercises they should do to, you",giving,people,different exercises,dat
176,"up the parking on my test. i don’t know how they gave me a license, but they did.  congratulation",gave,me,a license,dat
177,"ty like, it’s my money, they- of course i’ll like give them a bit, like a lot, and you-know that if- if",give,them,a bit,dat
178,"o do your community service?  um, well they gave us a list and we have to pick by, i think the end",gave,us,a list,dat
179," did you say mature or immature?  mature, i gave you a compliment.  thank you. and i took i",gave,you,a compliment,dat
180,"do for them?  i don’t know, ‘cau-- it just gives you quick explanation and then you call and you f",gives,you,quick explanation,dat
181,n and then you call and you find out more and they give you your hours and everything that-  oh. tha,give,you,your hours,dat
182,"e, “yeah, is there anything wrong with that?” you give them this sentence, it’s-like, “no.” it’s so stu",give,them,this sentence,dat
183,"the machines, if you put coins in, they don’t even give you a ticket.  really?  yeah. that su",give,you,a ticket,dat
184,gy.  so what facts do you need? we’ll just give you the facts.  we don’t need to give me the,give,you,the facts,dat
185,"ore i might understand. but no yelling at you or giving you a detention. the people who somehow feel, th",giving,you,a detention,dat
186,"to her, and said, “it’s not mine.” and then she gave me a sticker and i was fine.  and then once one",gave,me,a sticker,dat
187,e toronto-star. and for some reason they’ve been giving us the globe everyday. we don’t that much. yea,giving,us,the globe,dat
188,"what i can do."" and then the final, yeah she did give me a hundred.  uh  so like she 's like one",give,me,a hundred,dat
189,"up and there and he 's all like, ""alright someone give me a beat."" right? so kale the drummer sits down",give,me,a beat,dat
190,"lars on monday, so on tuesday morning, my mom will give me another five to make it ten, right?  uh,",give,me,another five,dat
191,ment program um where basically it 's supposed to give um students an opportunity to learn about what t,give,students,an opportunity,dat
192,on. that 's why i don 't like psychology 'cause it gives everything like a purpose. and everything does s,gives,everything,like a purpose,dat
193,t had given tickets to someone- or no someone had given the priest the tickets and my dad works at saint-,given,the priest,the tickets,dat
194,d eventually get boring 'cause like they 're not giving anybody else a chance so like right now i wouldn,giving,anybody else,a chance,dat
195,e seems like such a jerk.  shut up! but i only gave him two dollars right? 'cause that 's all i had.,gave,him,two dollars,dat
196,y di-- they just- they 're stupid 'cause they just gave me my trophy like two days ago. it took them lon,gave,me,my trophy,dat
197,ack?  and some of them wave back some of them give us the finger and some of us just- them just igno,give,us,the finger,dat
198,"fail or not based on the exams so um, i guess it gives them more time to organize the awards ceremony u",gives,them,more time,dat
199,"ngs, had so many opportunities and then it really gave you some hope, it's something that aspired you bu",gave,you,some hope,dat
200," - rare like egyptian solid gold cat...and then, he gave her the code, and then she- so she typed in the",gave,her,the code,dat
201,"at the- the son of the movie star, he died, but he gave her this disk, this computer disk, that if you f",gave,her,this disk,dat
202,"and  yeah, so you could  say like, i 'll give you a chip for it, and then someone else could s",give,you,a chip,dat
203,"chip for it, and then someone else could say i 'll give you two chips, and the person who they want to g",give,you,two chips,dat
204,was eighteen and i 'm- i 'm like sixteen. so i gave him a chance and he 's really nice. and we talke,gave,him,a chance,dat
205,ected him. then the third time he thought he would give it another shot and then i- i wanted to try it o,give,it,another shot,dat
206,r try to pick a fight with you?  no. i would give them cut eye.  what 's that?  the evil,give,them,cut eye,dat
207,"or.  who gave us the tickets?  our cousin gave us the tickets, our cousin stefanie. thank you! a",gave,us,the tickets,dat
208,"l today. vanessa, we just started talking like she gave me her email and i don 't really talk to the guy",gave,me,her email,dat
209,"s me, alex and valerie. then i 'm like, ""well okay give me the metro-pass and i 'll get off the bus."" an",give,me,the metro-pass,dat
210,ve a hot-mail account or an m-s-n- account and you give the person your email and you guys just talk but,give,the person,your email,dat
211,e other people in the old-age-home and she won 't give me any money. or they tell me stories how their,give,me,any money,dat
212,ly has her g-one and her passport and she 'll only give me her g-one 'cause she might need it. yeah righ,give,me,her g1,dat
213,e 'cause she might need it. yeah right no. so she gives me her passport. i don 't really look much like,gives,me,her passport,dat
214,"them and like we 're preserving them, like we 're giving them a number...like they 're p-- like it 's alm",giving,them,a number,dat
215,"want to cross the street by themselves, and they give them the space to do it, and they make sure that",give,them,the space,dat
216,"he ‘s like “oh, zack ‘s sleeping again, i ‘ll just give him bad marks.”  he actually had his history-boo",give,him,bad marks,dat
217,". and uh crap, i like melted it with a lighter to give it some effect.  okay.  on the back, see?",give,it,some effect,dat
218,"oh, i got to go give them up.  oh 'cause you gave  me the gun and i glued it on here. and i- and th",gave,me,the gun,dat
219,g but apparently i was such a good actor that they gave me two parts.  wow  it was like a huge f,gave,me,two parts,dat
220,"ol. no, my art teacher, she ‘s nice, she doesn ‘t give us any work. um-  that ‘s the definition of",give,us,any work,dat
221,"‘s not really a story, it ‘s like uh mr. camic he gave us this scene, right? and we have to read this s",gave,us,this scene,dat
222,ound for me 'cause i couldn 't do anything and she gave me this massage and then um-  did it help? [00,gave,me,this massage,dat
223,"ty easy-going, like we had our rules but they also gave me my freedoms.  did you ever have a curfew wh",gave,me,my freedoms,dat
224,"today, wow today my grandpa- my grandma wanted to give me twenty dollars for helping my grandpa with the",give,me,twenty dollars,dat
225,"y who would even touch my mom or like hit on- i 'd give them cut eye, i 'd fucking kill him, i 'd kill hi",give,them,cut eye,dat
226, yeah. my strongest card in my deck. a friend gave me this... card.  must be a pretty special fri,gave,me,this card,dat
227,"needs a- he needs a new hit, and he 's like ""just give me a mic, i 'll spit one out."" and then, then it",give,me,a mic,dat
228,"day walking down ah, east-avenue,  you should give him the demo.  or- yeah i know.  does he",give,him,the demo,dat
229,u projects or anything?  so far they didn 't give us any projects.  in previous years do they e,give,us,any projects,dat
230,nd?  rap had a meaning. but now i just don 't give rap a chance anymore.  whenever i listen to ra,give,rap,a chance,dat
231,"my mom said. i don 't- you can take a look, i can give you his name, and i can e-mail him and you can th",give,you,his name,dat
232,undred then you- you win lots of them so then they give you um eight tickets if you go in a hundred. ,give,you,eight tickets,dat
233,"she 's like ""that 's orange."" and then whenever we give her something orange she goes ""that 's red"". and ",give,her,something orange,dat
234,e fingering if i look at it right. but if you just give me like the letter i can't really remember it. be,give,me,like the letter,dat
235,makes it more challenging. she 's just trying to give everyone more- low- worth- low marks. i don 't l,give,everyone,low marks,dat
236, who cares ricky?  why? dumb. someone just give me a job. i mean not a job or-whatever. somewhe,give,me,a job,dat
237,"ios is like ""oh. i 'm sorry. i 'm sorry."" so he gives you a buggy and then that 's your first vehicle. ",gives,you,a buggy,dat
238,"en he tried- he thought he could do it there so he gave her the money. and she 's like ""no no no. downs",gave,her,the money,dat
239,s not something that i hate doing so. and it 'll give me good prospects i hope. so as long as i can do,give,me,good prospects,dat
240,ause two alternate ways of thinking.  can you give me an example?  like- like if you se- like al,give,me,an example,dat
241,. he made them with his hands right? and then he gave them free will. and- and in- in- this is like th,gave,them,free will,dat
242,"his is like the part that 's like ""wow"" because he gave us free will um whereas everything else, all the ",gave,us,free will,dat
243,list of questions to think about then i could 've given you better answers.  well i 'm not looking fo,given,you,better answers,dat
244,nes?  hm. oh and like this guy right? um he gives this like guy the forms right? you have to sign,gives,this like guy,the forms,dat
245,"ired right? so then we 're all like ""i wonder who gave him his license. he 's so bad at teaching."" and",gave,him,his license,dat
246,ants- she doesn 't want us to do anything. so she gives us a movie and then me and my friend recommended,gives,us,a movie,dat
247,bway today i saved her life. and then ah that girl gave me some gifts today. what should i do? what shoul,gave,me,some gifts,dat
248,u don 't- so i don 't have to make this. they just give me the slide. and it 's all coloured and all dyed,give,me,the slide,dat
249,ong mondays. but harvey picked on me so badly. i gave him three tries. and after the fourth ti- the th,gave,him,three tries,dat
250, -anything. but then you-know at least they should give him some time to rest and catch up you-know. the,give,him,some time,dat
251,g?  i can 't. i can 't play.  yeah. you give me a clarinet i proba-- i can probably still play,give,me,a clarinet,dat
252,ve you equivalent credits of u-credits and didn 't give you o-a-c ones. o-a-c people had o-a-c credits b,give,you,oac ones,dat
253,uirements. so they do give you credits. but they give you like p-kin. credits. so it 's not- they 're,give,you,pkin credits,dat
254,"er. and we 're like ""oh-my-gosh."" and plus we were giving timantha a make-over again. with her hair. and th",giving,timantha,a makeover,dat
255,"l give me a fake i-d. my sister said that she will give me her i-d if i want to go club and i was like ""s",give,me,her id,dat
256,"i gonna sit in it? i give you rides. you have to give me rides back."" and then he 's like ""yeah that '",give,me,rides,dat
257,"s like ""yeah."" and then she 's like ""okay. i 'll give you seven days. if in seven days i don 't break ",give,you,seven days,dat
258,kay. you-know andy 's in the other room. when he gave you the d-v-d without- like without telling you.,gave,you,the dvd,dat
259,i could all kind of jobs up there but the rents were so high and nobody would give me any credit and my furniture was all in the old country,give,me,any credit,dat
260," put a little extra in, gave them another drink,",gave,them,another drink,dat
261,"so they gave them one drink,",gave,them,one drink,dat
262,so of-course bill met him and gave him a bottle to bring back to town.,gave,him,a bottle,dat
263,we didn't have the books because they wouldn't give me the money to buy them.,give,me,the money,dat
264,"well, he said to me, ""if you give us that bible we'll put it in a glass case and open it up",give,us,that bible,dat
265,"unless you have to call in the armed services, but i'm trying to give you the picture.",give,you,the picture,dat
266," i said, ""if you were my wife, i'd give you a piece every time you wanted",give,you,a piece,dat
267,"well the companies we was buying this equipment from, they'd always give you thirty days see.",give,you,thirty days,dat
268,you give young burns a cigar.,give,young burns,a cigar,dat
269, and the treasury gave me five years to pay for it.,gave,me,five years,dat
270,is there any sickness in the family and show that you're interested don't just give them lip-service.,give,them,lip-service,dat
271,that...and i give them pretty marks for doing a pretty good job.,give,them,pretty marks,dat
272,"it worked the other way, like to give the horse his power they had to walk quite a ways to lift it.",give,the horse,his power,dat
273,it was a little bit too give you an idea like the feed on the saw mill,give,you,an idea,dat
274,"when momma gave me that ribbon i was playing out in the yard and she said to me most exactly, here's a ribbon for hildegarde.",gave,me,that ribbon,dat
275,they used to give you prize money.,give,you,prize money,dat
276,"and sure enough we did, we became friends, we went to the bar together, but when she gave me lindsay's number",gave,me,lindsay's number,dat
277,when they built their houses they give them big lots and then they subdivided them and sold the- the parts off,give,them,big lots,dat
278,"they give us the package and say, ""this is where you're going and this is where you're staying.""",give,us,the package,dat
279,"and she said. ""i'm gonna give you lindsay's number because she's taking e-c-e too and you guys can become- you know hang-out or whatever.""",give,you,lindsay's number,dat
280,"so my mom would give me two dimes, dime to get there dime to get back,",give,me,two dimes,dat
281,yeah and that's when they gave you the strap.,gave,you,the strap,dat
282,they were either looking buy a house or wanted to sell their house and would you come out and see them and talk to them and- and give them some advice on where- where to go and how to do it um,give,them,some advice,dat
283,and signing it and- and i was going to give the guy this- this plaque.,give,the guy,this plaque,dat
284,"worked on the diaper-line for five years, and then i did a thing they called ""career planning,"" which got you- gave you a chance to branch into something else that you might be interested in, rather than running the line.",gave,you,a chance,dat
285,"and she basically gave us the instruction- i don't know how that worked, but i skipped grade-one.",gave,us,the instruction,dat
