Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
oh right they'd squirt it up the . on the ewe's nose,the ewe's nose,S,the ewe,Def,n,Anim,nose,n,Inanim
they are hoping to come down for my mother's ninetieth birthday -,my mother's ninetieth birthday -,S,my mother,Def,n,Anim,ninetieth birthday,n,Inanim
June now the Sunday the sixteenth of June --,the sixteenth of June --,OF,June,Def-pn,n,Inanim,the sixteenth,n,Inanim
oh yeah well that's the first day of your holidays isn't it ? .,the first day of your holidays,OF,your holidays,Def,n,Inanim,the first day,n,Inanim
and the main body of the mountain,the main body of the mountain,OF,the mountain,Def,n,Inanim,the main body,n,Inanim
to it was an all day you went right up to the top of the first peak .,the top of the first peak .,OF,the first peak,Def,n,Inanim,the top,n,Inanim
graded I supose into the different thicknesses of fur and colours -,the different thicknesses of fur,OF,fur,Indef,n,Inanim,the different thicknesses,n,Inanim
um used to farm at the back of our place .,the back of our place .,OF,our place,Def,n,Inanim,the back,n,Inanim
every corner of the room an and you,every corner of the room,OF,the room,Def,n,Inanim,every corner,n,Inanim
especially the teacher's boy and girl its just like,the teacher's boy and girl,S,the teacher,Def,n,Anim,boy and girl,n,Anim
about this girl that after I got Joan's letter and she said the Martin,Joan's letter,S,Joan,Def-pn,n,Anim,letter,n,Inanim
ones that were at school with me cos there's only eighteen months' difference,eighteen months' difference,S,eighteen months,Indef,n,Inanim,difference,n,Inanim
when I got married and shifted on to the other side of Inglewood,the other side of Inglewood,OF,Inglewood,Def-pn,n,Inanim,the other side,n,Inanim
my mother's sister lived on a farm,my mother's sister,S,my mother,Def,n,Anim,sister,n,Anim
oh there was a big sawmill at the top of a hill,the top of a hill,OF,a hill,Indef,n,Inanim,the top,n,Inanim
every panel of the fence . the whole five panels .,every panel of the fence .,OF,the fence,Def,n,Inanim,every panel,n,Inanim
and the driveway of the teacher,the driveway of the teacher,OF,the teacher,Def,n,Anim,the driveway,n,Inanim
um you know where Ainstis's new house is,Ainstis's new house is,S,Ainstis,Def-pn,n,Anim,new house,n,Inanim
mmm so I thought oh thank goodness I'm not round the nobby area of town,the nobby area of town,OF,town,Indef,n,Inanim,the nobby area,n,Inanim
my girlfriend Judy's husband ex husband <oh> -,Judy's husband,S,Judy,Def-pn,n,Anim,husband,n,Anim
the last roses of the season see,the last roses of the season,OF,the season,Def,n,Inanim,the last roses,n,Inanim
um. in nineteen sixty six we decided because Bill's -,Bill's -  father,S,Bill,Def-pn,n,Anim,father,n,Anim
then I've got my darling brother Malcolm the clown of the family,the clown of the family,OF,the family,Def,n,Inanim,the clown,n,Anim
he loves being the centre of attention you know an he can always,the centre of attention,OF,attention,Indef,n,Inanim,the centre,n,Inanim
and when I introduced him to Cath and Don he immediately dropped the manure an' shook Don's hand which .,Don's hand,S,Don,Def-pn,n,Anim,hand,n,Inanim
twelve I think like Mark's mum says that he's,Mark's mum,S,Mark,Def-pn,n,Anim,mum,n,Anim
and he thought oh flip so he rushed back to his friend's place ya know gave the paint back <>,his friend's place,S,his friend,Def,n,Anim,place,n,Inanim
and his other nephew Justin's wee brother Hamish,Justin's wee brother,S,Justin,Def-pn,n,Anim,wee brother,n,Anim
Mark used to have a mini an they used to fill up or it was Mark's mother's mini I think,Mark's mother's,S,Mark,Def-pn,n,Anim,mother,n,Anim
Mark used to have a mini an they used to fill up or it was Mark's mother's mini I think,Mark's mother's mini,S,Mark's mother,Def,n,Anim,mini,n,Inanim
go off to someone's garage and . set up their little band you know ahh - no,someone's garage,S,someone,Indef,n,Anim,garage,n,Inanim
whoever's property they're working on puts Malcolm up for the night and,whoever's property,S,whoever,Indef,n,Anim,property,n,Inanim
yeah she trains horses for other people you know gets other people's horses in an',other people's horses,S,other people,Indef,n,Anim,horses,n,Anim
it usually takes place about end of December or prior to Christmas .,end of December,OF,December,Def-pn,n,Inanim,end,n,Inanim
Mum's three brothers,Mum's three brothers,S,Mum,Def-pn,n,Anim,three brothers,n,Anim
I said to her oh I can remember walking you up and down the hallway in the middle of the night,the middle of the night,OF,the night,Def,n,Inanim,the middle,n,Inanim
and the lady on the other side of the road thought hm this is a bit odd,the other side of the road,OF,the road,Def,n,Inanim,the other side,n,Inanim
Ian's Dad's going to be a great grandad so he's pretty excited about that as well yeah so .,Ian's Dad's,S,Ian,Def-pn,n,Anim,Dad,n,Anim
in the middle of a party -,the middle of a party -,OF,a party,Indef,n,Inanim,the middle,n,Inanim
staff of the . aeroplane had decided that I was there'd been a bereavement in the family or something like that and,the . staff of the . aeroplane,OF,the aeroplane,Def,n,Inanim,the staff,n,Anim
the whole ten days of of the the competition,the whole ten days of of the the competition,OF,the competition,Def,n,Inanim,the whole ten days,n,Inanim
ahh at the beginning of . at the end of february they played here .,the end of february,OF,february,Def-pn,n,Inanim,the end,n,Inanim
and um - and and and I really like reading the mas magistrate's court . <right>,the mas magistrate's court .,S,the mas magistrate,Def,n,Anim,court,n,Inanim
read the contents of the letter <> but .,the contents of the letter <>,OF,the letter,Def,n,Inanim,the contents,n,Inanim
in the first place it was the lawyer's,the lawyer's   idea,S,the lawyer,Def,n,Anim,idea,n,Inanim
I'm gonna say my big principal the the principal of the big school,the principal of the big school,OF,the big school,Def,n,Inanim,the principal,n,Anim
but I think at where as her Dad's English wasn't -,her Dad's English,S,her Dad,Def,n,Anim,English,n,Inanim
times of my life because I lived,the happiest times of my life,OF,my life,Def,n,Inanim,the happiest times,n,Inanim
the mess of the the lawns and the garden -,the mess of the the lawns and the garden -,OF,the lawns and the garden,Def,n,Inanim,the mess,n,Inanim
/and anyway/ he's had to drop the rent because of the state of the house . . . . . . . . . . /mmhmm/ .,the state of the house .,OF,the house,Def,n,Inanim,the state,n,Inanim
people's studios,people's studios,S,people,Indef,n,Anim,studios,n,Inanim
and he was talking about the masculine and feminine of verbs -  --,the masculine and feminine of verbs -  --,OF,verbs,Indef,n,Inanim,the masculine and feminine,n,Inanim
I think the video of the baby,the video of the baby,OF,the baby,Def,n,Anim,the video,n,Inanim
it is good it is good to have a twenty first I remember David's twenty first . and Susan's,remember David's twenty first .,S,David,Def-pn,n,Anim,twenty first,n,Inanim
and then in the third year of the undergraduate,the third year of the undergraduate  part,OF,the undergraduate part,Def,n,Inanim,the third year,n,Inanim
North Island of New Zealand um .,North Island of New Zealand,OF,New Zealand,Def-pn,n,Inanim,North Island,n,Inanim
and . at the end of the sixth form,the end of the sixth form,OF,the sixth form,Def,n,Inanim,the end,n,Inanim
in the holidays . at the end of the sixth form .,the end of the sixth form .,OF,the sixth form,Def,n,Inanim,the end,n,Inanim
On the opposite side of the room .,the opposite side of the room .,OF,the room,Def,n,Inanim,the opposite side,n,Inanim
at the end of the year -,the end of the year -,OF,the year,Def,n,Inanim,the end,n,Inanim
we went steady and then at the end of the year we became engaged and .,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
at the beginning of eighty seven we came up here .,the beginning of eighty seven,OF,eighty seven,Def-pn,n,Inanim,the beginning,n,Inanim
and then the principal of .,the principal of . Shirley Boys High School .,OF,Shirley Boys High School,Def-pn,n,Inanim,the principal,n,Anim
but I towards the end of the second term,the end of the second term,OF,the second term,Def,n,Inanim,the end,n,Inanim
Japanese teacher's job .,?the itinerant . Japanese teacher's job .,S,the itinerant Japanese teacher,Def,n,Anim,job,n,Inanim
the third term of the position <oh yeah> here? . so,the third term of the position,OF,the position,Def,n,Inanim,the third term,n,Inanim
for four terms I was the itinerant teacher of Japanese .,the itinerant teacher of Japanese .,OF,Japanese,Def-pn,n,Inanim,the itinerant teacher,n,Anim
<mmm> and then I was due to take the first class of the,the first class of the school,OF,the school,Def,n,Inanim,the first class,n,Inanim
it was actually the basis of his um .,the basis of his um . honours pap um project?,OF,his honours project,Def,n,Inanim,the basis,n,Inanim
