Unnamed: 0,Context,Response.variable,Possessor,Possessum,morph_case
22,"eddie-shore played for the boston-bruins, and he was known as a tough player, and he uh, swung his stick and fractured <&the skull& of $ace-bailey$>, and ace-bailey never played again.  ",of-genitive,ace-bailey,the skull,gen
23,"the ah sails of &the boats& of $mr-schmidt and mr-caulham, mr-rickards, and-so-on$- they were re-- they were proper sails but ah we (inc) small fry had to do with  red-path sugar-bags.",of-genitive,"mr-schmidt and mr-caulham, mr-rickards, and-so-on",the boats,gen
24,"and she says, ""in &the name& of $god$, what have you got now?"" ",of-genitive,god,the name,gen
25,but she had &the support& of $my brother$-,of-genitive,my brother,the support,gen
26,especially $tom$ 's &facial-expressions& 'cause they 're like,s-genitive,tom,facial-expressions,gen
27,"from um, the high-school to his house we cut through $someone$ 's &backyard& ",s-genitive,someone,backyard,gen
28,there 's a door that leads to $someone$ 's &backyard&,s-genitive,someone,backyard,gen
29,sharon knows now that abbey is $victor$ 's &daughter&,s-genitive,victor,daughter,gen
30,how abbey is $victor$ 's &daughter&,s-genitive,victor,daughter,gen
31,yeah angus tries to steal $james$ 's &toys&.,s-genitive,james,toys,gen
32, to the &cottage&?  to $allen$ 's cottage yeah.,s-genitive,allen,cottage,gen
33,like i can get from my &house&- from our house to $julie$ 's house in like ten minutes.,s-genitive,julie,house,gen
34,but i met up with $alex$ and allen and then two of alex 's &friends&.,s-genitive,alex,friends,gen
35,and then the next day i went up with sarah and then two of $andrew$ 's &friends&.,s-genitive,andrew,friends,gen
36,we had to leave early 'cause i had to go up to $julianne$ 's &house& to housesit.,s-genitive,julianne,house,gen
37,"cause we wanted to beat the traffic and then $allen$ 's &cousin&- so we get like half- we go out for a sub, have the sub,...",s-genitive,allen,cousin,gen
38,"allen drove home and $alex$ 's &friend& amy, is a girl drove up.",s-genitive,alex,friend,gen
39,"she's one of $my sister$'s &best friends&, so i-dunno, she and i have been really close.",s-genitive,my sister,best friends,gen
40,"she met a girl named agatha who just moved here from montreal, who was at $janice$'s &house& last night, actually.",s-genitive,janice,house,gen
41,"i was like standing in alex, $jackie$'s &boyfriend&- his house like by his front door and i saw him and like jackie",s-genitive,jackie,boyfriend,gen
42,"i opened my eyes and i 'm-like, this isn't $alex$'s &house&.",s-genitive,alex,house,gen
43,or you'd be like on top of $princess-zelda$'s &castle& from the zelda games.,s-genitive,princess-zelda,castle,gen
44,i went to one at $brina-poundstone$'s &house& who disappeared and went to montreal,s-genitive,brina-poundstone,house,gen
45,we-we did it at my friend $lisa$'s &house&.,s-genitive,lisa,house,gen
46,i think i told them i stayed on $lauren$'s &couch& that night.,s-genitive,lauren,couch,gen
47,"i was supposed to sleep at $josh$'s &house& that night, or josh's dorm room. he's a friend of mine in, was a friend of mine before frosh-week,",s-genitive,josh,house,gen
48,"i was supposed to sleep at $josh$'s house that night, or josh's &dorm room&. he's a friend of mine in, was a friend of mine before frosh-week,",s-genitive,josh,dorm room,gen
49,"and they-they came from $the engineer$'s &party&, one of them was, i-dunno, the-- they were scaring me",s-genitive,the engineer,party,gen
50,"at twelve-thirty at night, $yitzhack$'s &house& phone line rings, wakes up his parents.",s-genitive,yitzhack,house,gen
51,"um, $my mother$, they met, my father knew my mother's &older brother&.",s-genitive,my mother,older brother,gen
52,and they switched me into $mrs. grenowsky$'s &class&.,s-genitive,mrs. grenowsky,class,gen
53,"a bunch of us went up to $a friend$'s &cottage&, so they got into- they were fighting.",s-genitive,a friend,cottage,gen
54,"um, the first &house& i lived in was at $my grandma$'s house,",s-genitive,my grandma,house,gen
55,"um, well, it depends on- well we have like discrimination against $people$'s &sexuality&, which is huge right now,",s-genitive,people,sexuality,gen
56,"one of my friends who is bisexual he has a locker right in front of the office, in $the principal$'s &offices&, and the vice-principal's offices.",s-genitive,the principal,offices,gen
57,"one of my friends who is bisexual he has a locker right in front of the office, in the principal's &offices&, and $the vice-principal$'s offices.",s-genitive,the vice-principal,offices,gen
58,"i know it- i know &the names& of $his girlfriend$s, though. ",of-genitive,his girlfriend,the names,gen
59,"her name 's candice.  i know it- i know &the names& of $his girlfriend$s, though.  he 's told me.",of-genitive,his girlfriend,the names,gen
60,"i mean $his girlfriend$'s &parents&,",s-genitive,his girlfriend,parents,gen
61,"and then he said that at $natasha$'s &party&, ",s-genitive,natasha,party,gen
62,"and duke and $his older brother$'s &mom&, she left them after duke was born.",s-genitive,his older brother,mom,gen
63,"and $joyce$'s &party& was still like- that was one of the best days of the summer,",s-genitive,joyce,party,gen
64,and it was so much better than $carmen$'s &surprise party& ,s-genitive,carmen,surprise party,gen
65,"it 's like, all $his parents$' &money&.",s-genitive,his parents,money,gen
66,"and i was the one who got $people$s' &phone-numbers& when they were like, ""oh call me if you do something for dinner,""",s-genitive,people,phone-numbers,gen
67,"i mean $his girlfriend$'s &parents&, they didn 't like him or something.",s-genitive,his girlfriend,parents,gen
68,"and then he said that at $natasha$'s &party&, i was acting awkward towards him,",s-genitive,natasha,party,gen
69,"and duke and his older brother's mo&m, &she left them after duke was born$$other's mom, she left them after duke was born.",s-genitive,duke and his other brother,mom,gen
70,"and $joyce$'s &party& was still like- that was one of the best days of the summer,",s-genitive,joyce,party,gen
71,and it was so much better than $carmen$'s &surprise party& that she planned because the fact that it was planned-,s-genitive,carmen,surprise party,gen
72,"...how &the eye& of $the snake$ is comprised and, why it can µt, see red.",of-genitive,the snake,the eye,gen
73,"two weeks later it shows up in the kitchen, at $my mom$'s &feet&, whichói-dunno,",s-genitive,my mom,feet,gen
74,or um &the father& of $the child$ can 't support the child as well,of-genitive,the child,the father,gen
75,"and just like went to $a friend$'s &house&, like watched a movie or something",s-genitive,a friend,house,gen
76,and it was our first time and $my friend$'s &mom& was driving us there. ,s-genitive,my friend,mom,gen
77,"well actually i was in $my friend$'s &car& and we got pulled over,",s-genitive,my friend,car,gen
78,"we were in the ah- $cat the don$'s &room& last night for ah, cookies.",s-genitive,cat the don,room,gen
79,"on rebounds there's a lot of like pushing off of $people$'s &backs&, which is illegal also if they see it,",s-genitive,people,backs,gen
80,well there was one for example my um- $my teacher$'s &wedding&. ,s-genitive,my teacher,wedding,gen
81,and then $my friend$'s &dad& was a little bit too um- ,s-genitive,my friend,dad,gen
82,gilbert 's $samuel$'s &cousin&.  cousin.,s-genitive,samuel,cousin,gen
83,they came and stopped at $my aunt$'s &place&.,s-genitive,my aunt,place,gen
84,$vernon$'s &year& was the year i was in grade-nine.,s-genitive,vernon,year,gen
85,it 's not the same as if i go to one $my polish friends$' &houses& you-know-what-i-mean?,s-genitive,my polish friends,houses,gen
86,actually my parent's &grandp$arents&$ were friends and that 's how they met.,s-genitive,parents,grandparents,gen
87,i know that 's what $my dad$'s &parents& wanted they- they wanted better opportunities,s-genitive,my dad,parents,gen
88,i 'm not really sure what- with $my mom$'s &parents& i- i never knew much about about their- her parents.,s-genitive,my mom,parents,gen
89,"well $my m&om$&'s mom's father, like he left my mom's mom for another woman,  stuff-like-that.",s-genitive,my mom,mom,gen
90,"y$ou always h$ave somebody coming over you-know so expecting somebody, somebody within your, um, friend's familiy&&lways have somebody coming over you-know so expecting somebody, somebody within your, um, friend's familiy.",s-genitive,your friend,family,gen
91,when $my m&om$&'s  mom was still alive they used to make fur coats like i even have a picture of cher with a-,s-genitive,my mom,mom,gen
92,"like for example $my mom$'s &aunt&, um, basically, um- completely went away from the family",s-genitive,my mom,aunt,gen
93,"$my mom$'s &cousin&, which is my aunt- i 'll just call her my aunt and then my great-aunt from now on.",s-genitive,my mom,cousin,gen
94,"she had brought back $my m&om$&'s mom, so her sister's ashes, who she was supposed to take to poland,",s-genitive,my mom,mom,gen
95,"she had brought back my mom's mom, so $her sister$'s &ashes&, who she was supposed to take to poland,",s-genitive,her sister,ashes,gen
96,"trying to experience life through &the lives& of $others$,",of-genitive,others,the lives,gen
97,"yeah, ""calculus party at $tiffany$'s &place&.""",s-genitive,tiffany,place,gen
98,i 've noticed that i don 't deal with $people$s' &death& very well.,s-genitive,people,death,gen
99,and he lives with his brother in $some old lady$'s &house& that they 're renting from.,s-genitive,some old lady,house,gen
100,it 's $my mom$'s &christmas-tree store&. that's horrible.,s-genitive,my mom,christmas-tree store,gen
101,i took those out of somone's ga&rbage$$& those out of somone's garbage.,s-genitive,someone,garbage,gen
102,no that 's no that 's not $bronwyn$'s &mom&.,s-genitive,bronwyn,mom,gen
103,$bronwyn$'s &dad& is the guy- bronwyn's dad is the guy who owns the thing,s-genitive,bronwyn,dad,gen
104,"like, if i brushed past $my mom$'s &shoulder& in the hallway, it would be like the weirdest thing ever. ",s-genitive,my mom,shoulder,gen
105,"i haven 't even like put my hand on my- one of my parent's sh&oulders f&or like, forever$$t even like put my hand on my- one of my parent's shoulders for like, forever.",s-genitive,my parents,shoulders,gen
106,"his dad was like going back to italy or something-like-that for a trip and shook $my dad$'s &hand&, like, to say good-bye,",s-genitive,my dad,hand,gen
107,yeah and we were on our way to $our other friend$'s &house&.,s-genitive,our other friend,house,gen
108,"i thought i was dying was ah it was the earl-haig-&prom& but it was in $my boyfriend$'s prom, right?",s-genitive,my boyfriend,prom,gen
109,i found $somebody$'s &pack of gum&.,s-genitive,somebody,pack of gum,gen
110,so i found $somebody$'s &pack of gum& and i started chewing their gum and it felt so good so then i started chewing more of their gum.,s-genitive,somebody,pack of gum,gen
111,we went to $our friend$'s &house& to stay.,s-genitive,our friend,house,gen
112,and eventually i think we were back at $my boyfriend$'s &house&.,s-genitive,my boyfriend,house,gen
113,because they know that um- they- they believe in &the genius& of the $the architect$.,of-genitive,the architect,the genius,gen
114,yeah i know lorraine.  $adam$'s &girlfriend&.,s-genitive,adam,girlfriend,gen
115,but it 's not really free in $everyone$'s &eyes& i guess.  ,s-genitive,everyone,eyes,gen
116,when i did $our drummer dale$'s &hair&.,s-genitive,our drummer dale,hair,gen
117,"and then i started cutting $ned$'s &hair& in the back alley, ",s-genitive,ned,hair,gen
118,...and then i cut $that kevin kid$'s &hair& in the back alley. ,s-genitive,that kevin kid,hair,gen
119,we used to go to $this lady$'s &house& to steal zucchinis.,s-genitive,this lady,house,gen
120,so we had to run and we found the police and $tim$'s &mom&.,s-genitive,tim,mom,gen
121,$jason michael$'s &grandparents&.,s-genitive,jason michael,grandparents,gen
122,we were gonna sleep over at $tim$'s &house&.,s-genitive,tim,house,gen
123,"and ah... $jason michael$'s &grandma&, this is also the same lady",s-genitive,jason michael,grandma,gen
124,"this pakistanian guy, right around $tim$'s &corner&,",s-genitive,tim,corner,gen
125,"it was mr. ali, my &dad&, and $tim$'s dad who went over to his house.",s-genitive,tim,dad,gen
126,"...and ah, and the guy said that evan, $tim$'s &older brother&, ",s-genitive,tim,older brother,gen
127,and we were- we- so like anythony's ag&e.$&$ were- we- so like anythony's age. ,s-genitive,anthony,age,gen
128,"so $my sister$'s &boyfriend& goes over there, stan.",s-genitive,my sister,boyfriend,gen
129,and we built a skate park in $john collin$'s &backyard&. ,s-genitive,john collin,backyard,gen
130,cause he just went repeatedly on $julio$'s &chest&.,s-genitive,julio,chest,gen
131,"$dale$'s &arm& 's on ken 's shoulder, and they both have backwards hats on",s-genitive,dale,arm,gen
132,"...dale 's arm 's on $ken$'s &shoulder&, and they both have backwards hats on",s-genitive,ken,shoulder,gen
133,"i know people like $my cousin$s' &friends& who are going to be working in like, the mccain factory for the rest of their lives.",s-genitive,my cousin,friends,gen
134,"and i'd be at $my grandfather$'s &house&, with my parents",s-genitive,my grandfather,house,gen
135,"and so i did $my mom$'s &tree&, and it's like- she- actually i think she has a book at home,",s-genitive,my mom,tree,gen
136,"he works for his ah, $his wife$'s &father&, and he does like excavation.",s-genitive,his wife,father,gen
137,"just for the long weekend in august for $my cousin$'s &wedding&,",s-genitive,my cousin,wedding,gen
138,well it was just sort of like $someone$'s &opinion& of it.,s-genitive,someone,opinion,gen
139,"but um, compared to a lot of $people$'s &parents& that i know.",s-genitive,people,parents,gen
140,"like you don't know where you're supposed to be on the ice when you're in $the opponent$'s &zone&,",s-genitive,the opponent,zone,gen
141,"$my boyfriend$'s &sister&- my boyfriend's sister, actually she's in engineering here,",s-genitive,my boyfriend,sister,gen
142,"my aunt, $my mom$'s &sister&- she moved, she lives in edmonton now.",s-genitive,my mom,sister,gen
143,"and i guess $his friend$'s &brother& anwered the phone,",s-genitive,his friend,brother,gen
144,"and- and his &brother&- $the friend$'s brother will be-like, ¶ah, hi.÷",s-genitive,the friend,brother,gen
145,apparently he was having an affair with $his boss$'s &wife& and ,s-genitive,his boss,wife,gen
146,because $my mother$'s &family& is french. ,s-genitive,my mother,family,gen
147,"never learned italian, even though $my father$'s &family& is italian.",s-genitive,my father,family,gen
148,"it wasn 't really a why so much as $my friend$'s &aunt& is my boss, and she said,",s-genitive,my friend,aunt,gen
149,because these are people's resi-- these are resident's ac&counts.$&$these are people's resi-- these are resident's accounts. ,s-genitive,residents,accounts,gen
150,"$my mother$'s &family& all lives in quebec,",s-genitive,my mother,family,gen
151,"i didn 't catch anything, although i did loose all <$my cousin$'s &lures&> in the bottom of the lake apparently.",s-genitive,my cousin,lures,gen
152,it was like celebrating $somebody$'s &anniversary&. ,s-genitive,somebody,anniversary,gen
153,i like $other people$'s &kids&. ,s-genitive,other people,kids,gen
154,$other people$'s &kids& listen to you a little bit more i find. ,s-genitive,other people,kids,gen
155,"that 's $my sister$'s &word& for these things, cheap little pieces of junk that i like putting everywhere. ",s-genitive,my sister,word,gen
156,"i 'm like, ""what in $god$'s &name& are you doing?""",s-genitive,god,name,gen
157,when i think of parents' or grandparents' ag&e i& typically associate it with my grandparents and their dutch accen$$s' or grandparents' age i typically associate it with my grandparents and their dutch accent,s-genitive,parents or grandparents,age,gen
158,both $my parents$' &families& are from hamilton ,s-genitive,my parents,families,gen
159,"and trying to think of- but you know, my- {&the parents& of $my exchange student$} you know,",of-genitive,my exchange student,the parents,gen
160,following a lot of $paul$ãs &footsteps& through his missionary journeys,s-genitive,paul,footsteps,gen
161,"so i went with him, $his older brother$ and his older brotherµs &friend&",s-genitive,his older brother,friend,gen
162,"¶i will respect $other people$sã &property&,÷ and things",s-genitive,other people,property,gen
163,you-know $my brother$ µs &whole ordeal& early on,s-genitive,my brother,whole ordeal,gen
164,$my brother$ 's &stroke& would be a huge one,s-genitive,my brother,stroke,gen
165,"he doesn 't come to any of my grandmother 's bir-- great grandmother's bi&rthdays$$& any of my grandmother 's bir-- great grandmother's birthdays,",s-genitive,my great grandmother,birthdays,gen
166,"i may put a survey on $everyone$'s &stand& and say,  ",s-genitive,everyone,stand,gen
167,"um, i have a sister and a mom and a dad and a cat. and $the cat$ 's &name& is smoky.",s-genitive,the cat,name,gen
168,because $my dad$'s &team& won ofsaa thirty years before we won,s-genitive,my dad,team,gen
169,we see is $our grandpa$'s &hat& fly underneath us like in the water,s-genitive,our grandpa,hat,gen
170,"um $my d&ad$&'s dad, my poppy ah he ah played baseball",s-genitive,my dad,dad,gen
171,i thought two hours would be enough to go buy $my friend$'s &birthday present&.  ,s-genitive,my friend,birthday present,gen
172,so i went and i immediately knocked on $karen$'s &door&.,s-genitive,karen,door,gen
173,so then- and he 's actually $robbie$'s &friend& from elementary school. ,s-genitive,robbie,friend,gen
174,so- i went to my art-history um like ta's of&fice hours$$& art-history um like ta's office hours.,s-genitive,my art-history ta,office hours,gen
175,and i thought $this fourth year guy$'s &name& was jake. ,s-genitive,this fourth year guy,name,gen
176,i don 't have $matthew$'s &phone number&.,s-genitive,matthew,phone number,gen
177,and then $han$ 's- no one 's picking up at han's &house&.,s-genitive,han,house,gen
178,...so then um i gave him $matthew$'s &phone number& ,s-genitive,matthew,phone number,gen
179,"i was like ""$han$'s &friend& sean?""",s-genitive,han,friend,gen
180,like i have like $scott$'s &number& and daniel 's number ,s-genitive,scott,number,gen
181,...like i have like scott's &number& and $daniel$'s number ,s-genitive,daniel,number,gen
182,like i talked to $kenneth$ more about comi-- 'cause it 's kenneth's &birthday&. ,s-genitive,kenneth,birthday,gen
183,and then monday i have to be back for dinner for $kenneth$'s &birthday&. ,s-genitive,kenneth,birthday,gen
184,i was thinking that i could borrow $pat$'s &metropass& if she went to ottawa.,s-genitive,pat,metropass,gen
185,$natalie$'s &theory& is that really really intelligent people don 't get bored easily.,s-genitive,natalie,theory,gen
186,before he wouldn 't even hold $a girl$'s &hand& in public or put his arm around her because he was so shy.,s-genitive,a girl,hand,gen
187,it 's good though like i like the place that i am with my friends right now and i-don-t-know even $father-anton$'s &homily& today was just   oh about forgiveness.,s-genitive,father-anton,homily,gen
188,had a problem with respecting $other people$s' &space& ,s-genitive,other people,space,gen
189,it 's like $dave$ãs- dave s &buddies&,s-genitive,dave,buddies,gen
190,we borrowed $somebody$ 's &canoe& ,s-genitive,somebody,canoe,gen
191,i was looking at $my little brother$ãs &yearbook& and everything,s-genitive,my little brother,yearbook,gen
192,like they just drove into the back of <$charlie$ãs &car&>. ,s-genitive,charlie,car,gen
193,and also µcause like $charlie$ãs paren-- &dad& came ,s-genitive,charlie,dad,gen
194,"well that 's um with um $susan$ 's &friend& and all that, ",s-genitive,susan,friend,gen
195,"and like that year we did a dance and i used that idea of like um, of $lucia$'s &like struggle& and-everything. ",s-genitive,lucia,like struggle,gen
196,we had $a farmer$'s &field& behind us and ah.,s-genitive,a farmer,field,gen
197,"behind our house was $a farmer$'s &field&, ",s-genitive,a farmer,field,gen
198,"they did there, $audrey$'s &parents&.",s-genitive,audrey,parents,gen
199,"um, $alison$'s &church&, ",s-genitive,alison,church,gen
200,like $alison$'s &brothers& got baptized ,s-genitive,alison,brothers,gen
201,didn't smell like $anyone$'s &food&!,s-genitive,anyone,food,gen
202,we see $allison$'s &family& pretty regularly.,s-genitive,allison,family,gen
203,"$allison$'s &family&, she has three younger brothers,",s-genitive,allison,family,gen
204,$my dad$'s &parents& owned a cottage. ,s-genitive,my dad,parents,gen
205,$my mom$'s &parents& owned a cottage on kinesis-lake,s-genitive,my mom,parents,gen
206,there was $nanny$'s &bedroom&.,s-genitive,nanny,bedroom,gen
207,and then usually $logan$'s &bedroom& as well.,s-genitive,logan,bedroom,gen
208,"$my dad$'s &other siblings&,",s-genitive,my dad,other siblings,gen
209,"kinesis still belongs to $my mom$'s &parents&,",s-genitive,my mom,parents,gen
210,$allison$'s &dream job& would be for something like the u-n.,s-genitive,allison,dream job,gen
211,like $allison$'s &dad&'s on the volunteer-fire-patrol,s-genitive,allison,dad,gen
212,he had um an older sister who was um $my grandmother$'s &child& from another marriage      ,s-genitive,my grandmother,child,gen
213,she escaped i think in the trunk of <$her friend$'s &car&>       ,s-genitive,her friend,car,gen
214,she would always be standing over $my mom$ãs &shoulder& criticizing her. ,s-genitive,my mom,shoulder,gen
215,first i went to $my mom$ µs &school& for,s-genitive,my mom,school,gen
216,not $laura and robert$'s &mom&,s-genitive,laura and robert,mom,gen
217,"$laura and robert$'s &dad&, like, he worked for, like, budget, ",s-genitive,laura and robert,dad,gen
218,"and, $robert$'s &family& knocked down their whole house ",s-genitive,robert,family,gen
219,"the one side would be tied around <$somebody$ 's &waist&>, or whatever, and then wrapped around the tree,",s-genitive,somebody,waist,gen
220,i 'd have to crawl all the way to $my mom$ 's &room&     ,s-genitive,my mom,room,gen
221,"$my dad$ 's &best friend&, uncle-steve, lived their,     ",s-genitive,my dad,best friend,gen
222,"it was first his &house&, and then $his mom$'s house      ",s-genitive,his mom,house,gen
223,have a strong sense of cultural heritage and it is important to $people$'s &development& ,s-genitive,people,development,gen
224,"well, i know $my boss$ãs &kid&, miguel, ",s-genitive,my boss,kid,gen
225,"i 'd try to st-- stay at as $many friends$' &houses& as possible, ",s-genitive,many friends,houses,gen
226,"i ended up half moving back to $my parents$' &house&, so-  ",s-genitive,my parents,house,gen
227,if your rent is paid and you still end up sleeping at $your parents$' &house&.  ,s-genitive,your parents,house,gen
228,just gotta figure out $everyone$'s &schedules& and when we can have our first rehearsal.,s-genitive,everyone,schedules,gen
229,"i just wanted to make sure like, they were okay and $everyone$ 's &family& was okay ",s-genitive,everyone,family,gen
230,"my- 'cause my mom 's only forty-two so  <$my father$ 's &son&>, not my mother 's. ",s-genitive,my father,son,gen
231,and they 're from $my mother$ 's &second husband& who she is not married- ,s-genitive,my mother,second husband,gen
232,when is $tristan$ 's &birthday&. ,s-genitive,tristan,birthday,gen
233,i was wearing $my brother$ 's &clothes&. ,s-genitive,my brother,clothes,gen
234,the job that - has now $my step-father$ (inc) my step-father's &family&.,s-genitive,my step-father,family,gen
235,i went to $my girlfriend$'s &prom&. ,s-genitive,my girlfriend,prom,gen
236,"basically a waste of <$everybody$'s &time&>, even a waste of their time",s-genitive,everybody,time,gen
237,"that supported $their friend$'s &bands&, i-guess. ",s-genitive,their friend,bands,gen
238,he said he went to <$this guy$'s &house&>,s-genitive,this guy,house,gen
239,"and then jeff said went he went to <$the guy$'s &door&> to tell him they were packing up, ",s-genitive,the guy,door,gen
240,dan like built like this custom &car& hood from like three different car hoods and like put it on $mark$ 's car ,s-genitive,mark,car,gen
241,"um, so it 's a charity on &behalf& of $jews$ but just helping anyone,",of-genitive,jews,behalf,gen
242,actually $my grandm&other$&'s mother came over from poland. ,s-genitive,my grandmother,mother,gen
243,$my grandfather$'s &mother& came over from poland ,s-genitive,my grandfather,mother,gen
244,i think one of $my dad$'s &friends& knew them.,s-genitive,my dad,friends,gen
245,the parents were interested in $their kids$' &education& more than the average parent.,s-genitive,their kids,education,gen
246,so i'd go around and basically like pick $people$s' &brains& out- that's what i still do.,s-genitive,people,brains,gen
247,so you're picking up on $people$s' &brevities& more quickly whereas in here you have to say the whole word.,s-genitive,people,brevities,gen
248,"they expect like the ah, $the student$'s &intuition& to like work at a low- a slow pace and like a low- with low expectations,",s-genitive,the student,intuition,gen
249,computers really haven't caught up to the swiftness of $someone$'s &trained eye&.,s-genitive,someone,trained eye,gen
250,i think $people$'s &brains& are movin-- or under more stress so they pick up signs before they're finished.,s-genitive,people,brains,gen
251,"i met people that end up being you-know &the wife& of $some guy$ that got busted for a huge field or- of weed,",of-genitive,some guy,the wife,gen
252,"in &the words& of $the manager$, ""less acidic""",of-genitive,the manager,the words,gen
253,pretend it was like $peter-pan$'s &forest&,s-genitive,peter-pan,forest,gen
254,"um, $my dad$'s &grandparents& have passed away but my grandma that 's still alive yeah, ",s-genitive,my dad,grandparents,gen
255,the cost of living is a lot cheaper because $jeff$'s &sister& bought a house for i think a hundred and thirty-,s-genitive,jeff,sister,gen
256,"and even $jeff$'s &mom& was like, ""i 'd make my--"" she- what did she say? ",s-genitive,jeff,mom,gen
257,yeah we went back for $jeff$'s &grandfather&'s- when he passed away.,s-genitive,jeff,grandfather,gen
258,"and just &the attitude& of $people in clubs$ can be so uh, i don 't know what the word is but,  stuck up?",of-genitive,people in clubs,the attitude,gen
259,"and so he put himself in, let 's say, $some lady$'s &shoes&, and was like ""wow, this is what i was thinking when i did this.""",s-genitive,some lady,shoes,gen
260,"it was more $my parents$' &decision&,",s-genitive,my parents,decision,gen
261,and that was just a given  just because of the backr-- my$ parents' $back-round  um education is just very high u&&was just a given  just because of the backr-- my parents' back-round  um education is just very high up,s-genitive,my parents,background,gen
262,i don't go over to $my neighbour$'s &house& to like chat and go in and like have dinner with them or-anything,s-genitive,my neighbour,house,gen
263,i think there 's such a thing as too much involvement in $your kid$'s &life&,s-genitive,your kid,life,gen
264,so usually we 'll go to $a aunt$'s  &house& and um there 's that,s-genitive,a aunt,house,gen
265,"put on this front where she was ev$erybody's$ best-friend and she was um you-know&&s front where she was everybody's best-friend and she was um you-know,",s-genitive,everybody,best friend,gen
266,as i said she would put on this front of being extremely sweet and um and you-know ev$erybody's$ best-friend and the&&she would put on this front of being extremely sweet and um and you-know everybody's best-friend and then,s-genitive,everybody,best friend,gen
267,"um, $danny$'s &brother& patrick auditioned this year for grade-seven.",s-genitive,danny,brother,gen
268,i was spending the weekend at $a friend$'s &house& and um-,s-genitive,a friend,house,gen
269,"um, $somebody$'s &older brother or sister& or something? ",s-genitive,somebody,older brother or sister,gen
270,she didn 't cry at $her father$'s &funeral&.,s-genitive,her father,funeral,gen
271,"um, i think it was at $kayla$'s &housewarming party&.",s-genitive,kayla,housewarming party,gen
272,"but the sunday that i left was her parent's tw&enty-fifth anniversary party$$&nday that i left was her parent's twenty-fifth anniversary party,",s-genitive,her parents,twenty-fifth anniversary party,gen
273,it was really close to $kayla$'s &house& and really close to everything,s-genitive,kayla,house,gen
274,"$my mom$'s &family& is german, so german is my first language.",s-genitive,my mom,family,gen
275,and like he played with $chick-corea$. he was in chick corea's- one of chick-corea's &electric bands&.,s-genitive,chick-corea,electric bands,gen
276,"he had like $zappa$'s &email address&. like, ""i can 't get you anything you want here.""",s-genitive,zappa,email address,gen
277,i don 't know any of $joe-satriani$'s &albums&.,s-genitive,joe-satriani,albums,gen
278,"i guess it 'd be <$my dad$ 's &grandmother&>, my grandmother 's mom, she was born and raised in ireland, ",s-genitive,my dad,grandmother,gen
279,"i guess it 'd be my dad 's grandmother, <$my grandmother$ 's &mom&>, she was born and raised in ireland, ",s-genitive,my grandmother,mom,gen
280,"i think $my grandmother$ 's &biggest thing& is, as she puts it, slang.  ",s-genitive,my grandmother,biggest thing,gen
281,that 's $my grandmother$ 's &biggest thing& and she- a lot- she says a lot of talking she notices is putting into like sweeping generalizations ,s-genitive,my grandmother,biggest thing,gen
