accuLine,Construction,verb,rec,rec.def,rec.pron,rec.anim,thm,thm.def,thm.pron,thm.anim
and he got up one morning and was fine I took &Owen& to $school$ and when I came home .,took Owen to school,took,school,Def,non,Inanim,Owen,Def-pn,non,Anim
otherwise I could just sell &it& to $someone else$ at market rate,sell it to someone else,sell,someone else,Indef,non,Anim,it,Def,pronoun,Inanim
we're gonna have to send &you& to $Burwood$ cos . of their .,send you to Burwood,send,Burwood,Def-pn,non,Inanim,you,Def,pronoun,Anim
and offering &words of encouragement& to $everybody$ cos . cos a few people on the .,offering words of encouragement to everybody,offering,everybody,Def,non,Anim,words of encouragement,Indef,non,Inanim
I was going to show &it& to $you$ you can see where . some of the . yes . now you see . see some of them were quite poor .  see,show it to you,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
I've got a l~ a medal for French in there . I'll show &it& to $you$ <mmm>,show it to you -,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
and he gave &it& to $the policeman$ so I dunno what became of it after that,gave it to the policeman,gave,the policeman,Def,non,Anim,it,Def,pronoun,Inanim
you see and he left &the place& to $my boy$   on,left the place to my boy,left,my boy,Def,non,Anim,the place,Def,non,Inanim
I always understood that it belonged to a man called Buckart and he gave &it& to $father$ after the Battle of 0rako .,gave it to father,gave,father,Def,non,Anim,it,Def,pronoun,Inanim
ah didn't quite make &sense& to $me$ <yeah> so - that took ages lost a pair of scissors there when they found them in the bag . <ah>,make sense to me .,make,me,Def,pronoun,Anim,sense,Indef,non,Inanim
Matthew gave &them& to $me$,gave them to me,gave,me,Def,pronoun,Anim,them,Def,pronoun,Inanim
yeah so he's got to pay &that& to $me$ he hasn't done it by the due date either it's past,pay that to me,pay,me,Def,pronoun,Anim,that,Def,pronoun,Inanim
I'd get them up take &them& to $school$,take them to school .,take,school,Def,non,Inanim,them,Def,pronoun,Inanim
I leave &that& to $your Dad$ to paint,leave that to your Dad,leave,your Dad,Def,non,Anim,that,Def,pronoun,Inanim
what's mine is Morris's what's mine if I was short he would give me some money if I was short I'd had some I'd give &it& to $him$,give it to him,give,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
. get a cheque back in due course but . we usually just . gave &the cheque& to $dad$,gave the cheque to dad,gave,dad,Def-pn,non,Anim,the cheque,Def,non,Inanim
got it painted . well Mum and Dad paid for it and gave &it& to $me$ for my birthday -,gave it to me,gave,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
they just didn't give &anything& to $Christchurch$ this year aye they just don't,give anything to Christchurch,give,Christchurch,Def-pn,non,Inanim,anything,Indef,non,Inanim
they took &him& to $Princess Margaret$ here .,took him to Princess Margaret,took,Princess Margaret,Def-pn,non,Inanim,him,Def,pronoun,Anim
Mother take &sons& to $school$ but they were actually older than us,take sons to school,take,school,Def,non,Inanim,sons,Indef,non,Anim
they've still gotta pay &the tax on the full wholesale price& to $the government$ <yep> -,pay the tax on the full wholesale price . <oh I see> to the government,pay,the government,Def,non,Inanim,the tax on the full wholesale price,Def,non,Inanim
but give &it& to $one of her friends$ who can travel at least use it,give it to one of her friends,give,one of her friends,Indef,non,Anim,it,Def,pronoun,Inanim
and the programme director got another job and they sort of offered &it& to $me$ and I said yep okay I'll try it,offered it to me,offered,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
I started up my own wee company and I sold &shares& to $my sister$,sold shares to my sister,sold,my sister,Def,non,Anim,shares,Indef,non,Inanim
and ahh . it was quite swollen and I showed &it& to $my mother$ and she says oh you're not going to school .  you'll,showed it to my mother,showed,my mother,Def,non,Anim,it,Def,pronoun,Inanim
never . going into the army . never and actually here I've still got the card I don't know but did I show &it& to $you$ last time?,show it to you,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
you see all well wired and so forth they used to send &them& to $Dunedin$ and get a good return,send them to Dunedin .,send,Dunedin,Def-pn,non,Inanim,them,Def,pronoun,Inanim
you see he left &the place& to $my wee boy$,left the place to my wee boy -,left,my wee boy,Def,non,Anim,the place,Def,non,Inanim
B: no they uh perhaps some of the old chaps about the township might cut it for the miners and sell &it& to $them$ but uh,sell it to them,sell,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
if they wouldn't give &it& to $them$ they'd take it .,give it to them,give,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
one of them I I've told &this here story& to $you$ before the . the ahh .,told this here story to you,told,you,Def,pronoun,Anim,this here story,Def,non,Inanim
no . no no . no I left &that& to $the blokes$ <did you ?> .,left that to the blokes,left,the blokes,Def,non,Anim,that,Def,pronoun,Inanim
it's actually . we sold &it& to $a mother and daughter$ um -,sold it to a mother and daughter -,sold,a mother and daughter,Indef,non,Anim,it,Def,pronoun,Inanim
you know when he sort of promises &everything& to $everybody$,promises everything to everybody .,promises,everybody,Def,non,Anim,everything,Def,non,Inanim
the Australian mint and . you see . they sold &it& to $the bank$,sold it to the bank,sold,the bank,Def,non,Inanim,it,Def,pronoun,Inanim
the frustrations of today actually I made &the comment& to $somebody$,made the comment to somebody .,made,somebody,Indef,non,Anim,the comment,Def,non,Inanim
yeah so I just drove well the two little ones I took &one& to $kindy$ sort of like a kindergarten I think it was and ah one,took one to kindy,took,kindy,Def,non,Inanim,one,Indef,pronoun,Anim
so had sent &them& to $Saint Margaret's$ um ?,sent them to Saint Margaret's .,sent,Saint Margaret's,Def-pn,non,Inanim,them,Def,pronoun,Anim
getting the kids organised . making their lunches . taking &them& to $school$,taking them to school,taking,school,Def,non,Inanim,them,Def,pronoun,Anim
or s I might give it s I might sell &it& to $a friend of mine$,sell it to a friend of mine -,sell,a friend of mine,Indef,non,Anim,it,Def,pronoun,Inanim
 - no . I don't know what I'm going to do with that I'm going to give &some& to $my father$,give some to my father,give,my father,Def,non,Anim,some,Indef,non,Inanim
and he gave &it& to $Mr Smith$ in Macetown   and,gave it to Mr Smith,gave,Mr Smith,Def-pn,non,Anim,it,Def,pronoun,Inanim
'll do some guessing . where I got this iron . when I give &it& to $him$,give it to him .,give,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
he didn't give altogether give &a fair spend& to $Jim$,give a fair spend to Jim .,give,Jim,Def-pn,non,Anim,a fair spend,Indef,non,Inanim
. and got down to Mount Pisa and they took &him& to $the hospital$,took him to the hospital,took,the hospital,Def,non,Inanim,him,Def,pronoun,Anim
and take &their gold dust& to $the bank$,take their gold dust to the bank .,take,the bank,Def,non,Inanim,their gold dust,Def,non,Inanim
give &it& to $Dufty$ give it to Dufty . to kick,give it to Dufty .,give,Dufty,Def-pn,non,Anim,it,Def,pronoun,Inanim
I used to give &half& to $Mum$,give half to Mum . and half to myself,give,Mum,Def-pn,non,Anim,half,Indef,non,Inanim
when I gave &it& to $the museum$,gave it to the museum .,gave,the museum,Def,non,Inanim,it,Def,pronoun,Inanim
yes . yeah I still give &my best& to $my job$ and Rod does his but we're over working yeah <yeah>,give my best to my job,give,my job,Def,non,Inanim,my best,Def,non,Inanim
so I wrote to the lady . and she s said she wouldn't send &it& to $me$ she was cross with me for going I suppose --,send it to me,send,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
I just left &it& to $him$,left it to him -,left,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
I should just throw it away or give &it& to $the City Mission$ or .,give it to the City Mission,give,the City Mission,Def,non,Inanim,it,Def,pronoun,Inanim
they'd give &it& to $you$ with an exchange taken off it .  and,give it to you,give,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
did she give &it& to $the free press$ no I'm not . I'm not definite about that,give it to the free press ? -,give,the free press,Def,non,Inanim,it,Def,pronoun,Inanim
cos he'll give &them& to $all his teachers$,give them to all his teachers,give,all his teachers,Def,non,Anim,them,Def,pronoun,Inanim
she'd just walked out and gave &it& to $us$ yeah,gave it to us -,gave,us,Def,pronoun,Anim,it,Def,pronoun,Inanim
you're not selling &it& to $the user$,selling it to the . to the user .,selling,the user,Def,non,Anim,it,Def,pronoun,Inanim
and um went they sent &me& to $a surgeon$,sent me to a surgeon,sent,a surgeon,Indef,non,Anim,me,Def,pronoun,Anim
yeah I'll show &it& to $you$ afterwards if you,show it to you,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
yeah that's right . I mean I've given &roses& to $people$,given roses to people .,given,people,Indef,non,Anim,roses,Indef,non,Inanim
and back I'd come and I'd take &my empty plate& to $my mother$ and I'd get my pudding I think I always ate my pudding.,take my empty plate to my mother,take,my mother,Def,non,Anim,my empty plate,Def,non,Inanim
a bird of paradise and I was allowed to give &this& to $Mr Kilk's museum$,give this . to Mr Kilk's museum .,give,Mr Kilk's museum,Def-pn,non,Inanim,this,Def,pronoun,Inanim
and I give &it& to $him$ and he took it home and he cooked it and .,give it to him,give,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
so finally he gave &this key& to $Robert Graham$,gave this key to Robert Graham .,gave,Robert Graham,Def-pn,non,Anim,this key,Def,non,Inanim
and he passes when he sells &it& to $the retailer$ he charges them the wholesale price plus tax <right> .,sells it to the retailer,sells,the retailer,Def,non,Inanim,it,Def,pronoun,Inanim
she'd be we'd taken &her& to $the vet$ and she was on tablets and stuff,taken her to the vet,taken,the vet,Def,non,Anim,her,Def,pronoun,Anim
<yeah> at the polytech they just give &it& to $you$,give it to you,give,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
all the photos of . of . what . er relations we had and . gave &them& to $the kids$ in,gave them to the kids,gave,the kids,Def,non,Anim,them,Def,pronoun,Inanim
what we sent &them& to $school$ or what they wanted to go to school to learn <learn> .,sent them to school .,sent,school,Def,non,Inanim,them,Def,pronoun,Anim
is taking &him& to $the pub$ letting him play pinball machines .,taking him to the pub .,taking,the pub,Def,non,Inanim,him,Def,pronoun,Anim
yeah so they got not much at the moment so he sold &his car& to $Haydn$ [laughs],sold his car to Haydn .,sold,Haydn,Def-pn,non,Anim,his car,Def,non,Inanim
and um I would have been quite happy for them just to give &it& to $me$ and,give it to me,give,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
farmers who were sending &the milk& to $the centre at Ngaruawahia$,sending the milk to the centre at Ngaruawahia,sending,the centre at Ngaruawahia,Def,non,Inanim,the milk,Def,non,Inanim
to give &birth& to $a baby$ and what the whole experience is like .,give birth to a baby,give,a baby,Indef,non,Anim,birth,Def,non,Inanim
um give &it& to $your boyfriend$ that's .,give it to your boyfriend,give,your boyfriend,Def,non,Anim,it,Def,pronoun,Inanim
and I had three of them sort of trying to sell &this blimmin lens& to $me$,sell this blimmin lens to me .,sell,me,Def,pronoun,Anim,this blimmin lens,Def,non,Inanim
they didn't make &any difference& to $anybody$,make any difference to anybody,make,anybody,Indef,non,Anim,any difference,Indef,non,Inanim
I send &this& to $my friends$ and tell them what I've been doing .,send this to my friends,send,my friends,Def,non,Anim,this,Def,pronoun,Inanim
man imagine if they gave &this& to $Glen$,gave this to Glen,gave,Glen,Def-pn,non,Anim,this,Def,pronoun,Inanim
he's gotta give &more incentive& to $the instructors$,give more incentive to the instructors .,give,the instructors,Def,non,Anim,more incentive,Indef,non,Inanim
so I sent &the stuff& to $Japan$ and he said sorry we've already chosen someone,sent the stuff to Japan,sent,Japan,Def-pn,non,Inanim,the stuff,Def,non,Inanim
<oh that's so funny> and um and they said oh oh we'll send &it& to $you$ and um,send it to you,send,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
I might have sent &it& to $Helen$ actually . just as a joke -,sent it to Helen,sent,Helen,Def-pn,non,Anim,it,Def,pronoun,Inanim
if we can sell &one& to $every second one$ <right> we'd be doing well -,sell one to every s . one to every second one,sell,every second one,Def,pronoun,Anim,one,Indef,pronoun,Inanim
they're all here generation bringing &money& to $our country$,bringing money to our country .,bringing,our country,Def,non,Inanim,money,Indef,non,Inanim
paying &attention& to $what time we started going$ and .  <yeah>,paying attention to what time we . sort of started going,paying,what time we started going,Indef,non,Inanim,attention,Indef,non,Inanim
I gave &it& to $one of my nieces$ and ah .,gave it to one of my nieces .,gave,one of my nieces,Indef,pronoun,Anim,it,Def,pronoun,Inanim
I spoke out they brought &their grievances& to $me$ and I went to the union .,brought their grievances to me .,brought,me,Def,pronoun,Anim,their grievances,Def,non,Inanim
you know we'd be coming home from mass on a Sunday morning in the gig and dad'd be giving &money& to $the salvation army$ on the street .,giving money to the salvation army,giving,the salvation army,Def,non,Inanim,money,Indef,non,Inanim
and give &it& to $him$ and he couldn't he was so weak he couldn't go home -,give it to him,give,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
and give &it& to $my father$,give it to my father .,give,my father,Def,non,Anim,it,Def,pronoun,Inanim
offered to take &Alf& to $Christchurch$,take Alf to Christchurch .,take,Christchurch,Def-pn,non,Inanim,Alf,Def-pn,non,Anim
canals and things and showed &them& to $Zaria$,showed them to Zaria,showed,Zaria,Def-pn,non,Anim,them,Def,pronoun,Inanim
you would let me know or just give &it& to $dad$ or . mmm .,give it to dad,give,dad,Def-pn,non,Anim,it,Def,pronoun,Inanim
in your music taste cos Simon does &the same thing& to $me$ he .,does the same thing to me,does,me,Def,pronoun,Anim,the same thing,Def,non,Inanim
give &it& to $me$ or something I can't remember,give it to me,give,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
but um - no my parents often threaten to sent &me& to $boarding school$ but .,sent me to boarding school,sent,boarding school,Def,non,Inanim,me,Def,pronoun,Anim
lent &it& to $a cobber of mine$ at the moment <yeah>,lent it to a cobber of mine,lent,a cobber of mine,Indef,non,Anim,it,Def,pronoun,Inanim
like sending &my grade sheet& to $him$ you know what I mean ? .,sending my grade sheet to him .,sending,him,Def,pronoun,Anim,my grade sheet,Def,non,Inanim
no . I haven't got it I gave &it& to $one of my nieces$ many years ago .,gave it to one of my nieces .,gave,one of my nieces,Indef,pronoun,Anim,it,Def,pronoun,Inanim
and it used to take &the fruit and vegetables etceteras& to $the islands$,take the fruit and vegetables etceteras to the islands,take,the islands,Def,non,Inanim,the fruit and vegetables etceteras,Def,non,Inanim
he gave &it& to $me$ for Mother's Day I opened a card .,gave it to me,gave,me,Def,pronoun,Anim,it,Def,pronoun,Inanim
wait till I show I'll send &a photo& to $Debbie$ <yeah>,send a photo to Debbie,send,Debbie,Def-pn,non,Anim,a photo,Indef,non,Inanim
well you don't have to feed them very often but if they want it you give &it& to $them$,give it to them .,give,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
so I fed &them& to $him$ and ahh . yeah .,fed them to him,fed,him,Def,pronoun,Anim,them,Def,pronoun,Inanim
to be selling &web page design& to $people$ um .,selling web page design to people .,selling,people,Indef,non,Anim,web page design,Indef,non,Inanim
. the neighbours used to bring vegetables over and we'd take &vegetables& to $them$ and that sort of thing,take vegetables to them,take,them,Def,pronoun,Anim,vegetables,Indef,non,Inanim
and give &it& to $the mother$ and sort of help her on the,give it to the mother,give,the mother,Def,non,Anim,it,Def,pronoun,Inanim
we didn't give &them& to $the dog$ we'd take them home if they're good - good ah clean buck - rabbit we'd take him home and mum would cook him cook this rabbit for me we'd have rabbit stew - and that -,give them to the dog,give,the dog,Def,non,Anim,them,Def,pronoun,Anim
but . give &your time& to $the community$,give your time to the community .,give,the community,Def,non,Inanim,your time,Def,non,Inanim
it was celluloid . and I gave &that& to $Raewyn$ and I gave her my dolls,gave that to [Raewyn?],gave,Raewyn,Def-pn,non,Anim,that,Def,pronoun,Inanim
give &it& to $Dufty$ give it to Dufty . to kick,give it to Dufty .,give,Dufty,Def-pn,non,Anim,it,Def,pronoun,Inanim
and we used to gather these gooseberries and then we sold &them& to $an aunt$,sold them to an aunt .,sold,an aunt,Indef,non,Anim,them,Def,pronoun,Inanim
nobody . gave &cheek& to $a policeman$ in my day .,gave cheek to a policeman,gave,a policeman,Indef,non,Anim,cheek,Def,non,Inanim
we were . go we actually wrote &a letter& to $the Vatican$ to sort of see if we could go back any further just -,wrote a letter to the Vatican,wrote,the Vatican,Def,non,Inanim,a letter,Indef,non,Inanim
to send &it& to $Allan$ and so I sent it to the school . and um . um .,send it to Allan .,send,Allan,Def-pn,non,Anim,it,Def,pronoun,Inanim
<yes> and he sold &it& to $a man named Barker$,sold it to a man named Barker,sold,a man named Barker,Indef,non,Anim,it,Def,pronoun,Inanim
um I don't remember when I got him but I know cos mum told me that well one of my uncles gave &him& to $me$,gave him to me .,gave,me,Def,pronoun,Anim,him,Def,pronoun,Inanim
like the percentage of children that bought brought &their bank books& to $school$ each week,brought their bank books to school,brought,school,Def,non,Inanim,their bank books,Def,non,Inanim
write &letters& to $each other$ and . sort of think about things - um,write letters to each other,write,each other,Def,non,Anim,letters,Indef,non,Inanim
missing out on something good ok so long as you don't pay &attention& to $the hype$,pay attention to the hype -,pay,the hype,Def,non,Inanim,attention,Indef,non,Inanim
when you've been sending letters to other Dennisons they they just kept sending &them& to $me$ because (.),sending them to me,sending,me,Def,pronoun,Anim,them,Def,pronoun,Inanim
. um . I can't I could show &it& to $you$ I can't remember the words but she said that,show it to you,show,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
that he was leaving &the place& to $my wee chap$,leaving the place to my wee chap .,leaving,my wee chap,Def,non,Anim,the place,Def,non,Inanim
that paid &a hundred pound a week& to $each man$,paid a hundred pound a week to each man,paid,each man,Def,non,Anim,a hundred pound a week,Indef,non,Inanim
and such ahh famous pa that it gave &its name& to $the whole district$,gave its name to the whole district .,gave,the whole district,Def,non,Inanim,its name,Def,non,Inanim
just give &a little thought& to $the old pioneers$,give a little thought to the old pioneers .,give,the old pioneers,Def,non,Anim,a little thought,Indef,non,Inanim
. so they gave &them& to $him$,gave them to him,gave,him,Def,pronoun,Anim,them,Def,pronoun,Anim
and washed it out they come running all round ours the the claim showing &it& to $them$,showing it to them,showing,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
. is the farm that Tipuia . Princess Tipuia has she we sold &it& to $her$,sold it to her,sold,her,Def,pronoun,Anim,it,Def,pronoun,Inanim
power back and give &it& to $another person$,give it to another person,give,another person,Indef,non,Anim,it,Def,pronoun,Inanim
I will give &something& to $a woman$ to do and the next moment,give something to a woman,give,a woman,Indef,non,Anim,something,Indef,pronoun,Inanim
it's quite funny when dad . gave &this& to $us$ at christmas and - Michael my oldest son he . he put him in the . end of it -,gave this to us,gave,us,Def,pronoun,Anim,this,Def,pronoun,Inanim
he was . when he paid &a visit& to $the district$,paid a visit to the . district,paid,the district,Def,non,Inanim,a visit,Indef,non,Inanim
I . had to send a message I sent &a message& to $the school$ I didn?t want - to,sent a message to the school .,sent,the school,Def,non,Inanim,a message,Indef,non,Inanim
and so . <mmm> afraid they would do &some damage& to $it$,do some damage to it --,do,it,Def,pronoun,Inanim,some damage,Indef,non,Inanim
to send it to Allan . and so I sent &it& to $the school$ and um . um .,sent it to the school .,sent,the school,Def,non,Inanim,it,Def,pronoun,Inanim
she sent &him& to $the doctor$ everytime he was sick,sent him to the doctor,sent,the doctor,Def,non,Anim,him,Def,pronoun,Anim
my brother fished out the plug . and handed &it& to $him$,handed it to him .,handed,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
which seems to seems to have made &a difference& to $his maturity levels$,made a difference to his maturity levels,made,his maturity levels,Def,non,Inanim,a difference,Indef,non,Inanim
ahh one of the Chinamen wanted some opium one day . and the head man wouldn't give &it& to $him$,give it to him .,give,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
and I've written &a letter& to $that address$ but had no reply of course   probably,written a letter to that address,written,that address,Def,non,Inanim,a letter,Indef,non,Inanim
we made &an official application& to $Wellington$ ah for .,made an official application to Wellington .,made,Wellington,Def-pn,non,Inanim,an official application,Indef,non,Inanim
and so . what they did to make &their contribution& to $the world church$ was <mmm>,make their contribution to the world church,make,the world church,Def,non,Inanim,their contribution,Def,non,Inanim
caught me feeding &them& to $him$ and,feeding them to him,feeding,him,Def,pronoun,Anim,them,Def,pronoun,Inanim
rather than pay &a hundred and ninety& to $someone else$ to pay off their house,pay a hundred and ninety to someone else,pay,someone else,Indef,non,Anim,a hundred and ninety,Indef,non,Inanim
ah yeah . but we took &it& to $her$ and . then . members of the sort of . underground .,took it to her,took,her,Def,pronoun,Anim,it,Def,pronoun,Inanim
um . I used to collect stamps but I got bored so I sold &it& to $my sister$,sold it to my sister .,sold,my sister,Def,non,Anim,it,Def,pronoun,Inanim
oh yes you'd have to take &something& to $them$,take something to them .,take,them,Def,pronoun,Anim,something,Indef,non,Inanim
and they sold &the milk& to $all the neighbours around about$,sold the milk to all the neighbours around about .,sold,all the neighbours around about,Def,non,Anim,the milk,Def,non,Inanim
and picked this man up and brought &him& to $safety$ under heavy fire -,brought him to safety,brought,safety,Indef,non,Inanim,him,Def,pronoun,Anim
and gave &the name& to $the whole pa$,gave the name to the whole pa .,gave,the whole pa,Def,non,Inanim,the name,Def,non,Inanim
ahh . make &a report& to $the government$ on the ahh defence in New Zealand,make a report to the government,make,the government,Def,non,Inanim,a report,Indef,non,Inanim
sent &the cattle& to $Hamilton$ to be s sale to be sold and ah .,sent the cattle to Hamilton,sent,Hamilton,Def-pn,non,Inanim,the cattle,Def,non,Inanim
so I had to take &it& to $Toyota dealer$ and get a quote .,take it to a . Toyota dealer,take,Toyota dealer,Def,non,Inanim,it,Def,pronoun,Inanim
there was a time when um in Rangiora you always to take &old clothes& to $the depot it was called$,take old clothes to the depot it was called.,take,the depot it was called,Def,non,Inanim,old clothes,Indef,non,Inanim
when you're charging or selling &a product& to $a retailer$ <mm hm>,selling a product to a retailer .,selling,a retailer,Indef,non,Inanim,a product,Indef,non,Inanim
we have sent &one of them& to $our brother Sergei$ down the road,sent one of them to our brother Sergei,sent,our brother Sergei,Def,non,Anim,one of them,Indef,pronoun,Inanim
and he took . he took &offence& to $it$,took offence to it .,took,it,Def,pronoun,Inanim,offence,Indef,non,Inanim
because he'd sent &this obscene letter& to $somebody$,sent this obscene letter to somebody .,sent,somebody,Indef,non,Anim,this obscene letter,Def,non,Inanim
<> I took &her& to $the vet$ a couple of weeks ago to get her first shot <yeah>,took her to the vet,took,the vet,Def,non,Anim,her,Def,pronoun,Anim
take &the kids& to $pictures$,take the kids to pictures park . a walk .,take,pictures,Indef,non,Inanim,the kids,Def,non,Anim
and twisted them and done &all sorts of things& to $their rules$,done all sorts of things to their rules,done,their rules,Def,non,Inanim,all sorts of things,Def,non,Inanim
and he would ask us for some well you gave &it& to $him$,gave it to him,gave,him,Def,pronoun,Anim,it,Def,pronoun,Inanim
for the old grocer to pay their bill that they hadn't that hadn't paid &a penny& to $the grocer$ for the whole twelve months,paid a penny to the grocer,paid,the grocer,Def,non,Anim,a penny,Indef,non,Inanim
yes I lent &him& to $a fellow$ to ride <oh yes> yes . mmm hmm,lent him to a fellow,lent,a fellow,Indef,non,Anim,him,Def,pronoun,Anim
A: and I knew knew where to turn the pages and I read &this& to $the kindergarten$ when I when I was four,read this to the kindergarten,read,the kindergarten,Def,non,Inanim,this,Def,pronoun,Inanim
middle of um . Dublin and but he um took &me& to $my hostel$ which was probably just as well .,took me to my hostel,took,my hostel,Def,non,Inanim,me,Def,pronoun,Anim
and then sell &the cadavers& to $the hospital$,sell the cadavers to the to the um hospital .,sell,the hospital,Def,non,Inanim,the cadavers,Def,non,Inanim
. he said someday penicillin might save your life and if I give &it& to $you$ for that,give it to you,give,you,Def,pronoun,Anim,it,Def,pronoun,Inanim
I remember writing &letters& to $people$ and getting them in the wrong envelopes,writing letters to people,writing,people,Indef,non,Anim,letters,Indef,non,Inanim
. and then I'd be sent down occasionally to take &bowls of soup& to $her$,take bowls of soup to her,take,her,Def,pronoun,Anim,bowls of soup,Indef,non,Inanim
but um she's decided to ah to give &it& to $her boyfriend$,give it to her boyfriend .,give,her boyfriend,Def,non,Anim,it,Def,pronoun,Inanim
<mmm> who wanted to send &money& to $their families$,send money to their families .,send,their families,Def,non,Anim,money,Indef,non,Inanim
yeah she doesn't pay &attention& to $herself$ much so,pay attention to herself,pay,herself,Def,pronoun,Anim,attention,Indef,non,Inanim
he ah . he wrote &a letter& to $the vet$,wrote a letter to the vet,wrote,the vet,Def,non,Anim,a letter,Indef,non,Inanim
looking for the same service and they got it even if perhaps I didn't sell &it& to $them$ and somebody else sold it to them .,sell it to them,sell,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
. we <mmm> . and in fact . we used to sell &the eggs& to $the grocer$,sell the eggs to the . grocer .,sell,the grocer,Def,non,Anim,the eggs,Def,non,Inanim
. what he was washing up <mm hmm> so he gave &it& to $them$ and they went down and got him the two bottles of beer,gave it to them,gave,them,Def,pronoun,Anim,it,Def,pronoun,Inanim
I didn't take &my problems& to $anybody$ really,take my problems to anybody,take,anybody,Indef,non,Anim,my problems,Def,non,Inanim
and . course he could send &the money& to $them$,send the money to them .,send,them,Def,pronoun,Anim,the money,Def,non,Inanim
you've got to make &some effort& to $it$ so there's a reciprocity about it,make some effort to it,make,it,Def,pronoun,Inanim,some effort,Indef,non,Inanim
you're lucky. that you could give &it& to $her$,give it to her.,give,her,Def,pronoun,Anim,it,Def,pronoun,Inanim
has brought &all these Taiwanese people& to $the bay$ off the boat .,brought all these Taiwanese people . to the bay .,brought,the bay,Def,non,Inanim,all these Taiwanese people,Def,non,Anim
when you've been sending &letters& to $other Dennisons$ they they just kept sending them to me because (.),sending letters to other Dennisons,sending,other Dennisons,Indef,non,Anim,letters,Indef,non,Inanim
